"location","status_id","created_at","text"
"New Haven, CT","1117210571647143936",2019-04-13 23:38:51,"@Meattrapezoid @rudnicknoah @SenhorRaposa @Aseemru @Polit_eurOpines Simplest way to convey the area above north bay is rural enviro-hippies. Lots of cannabis farming/collectives, small farms, and ecology/tourism based economy. Kind of need to experience it to really understand though."
"Shermer, IL","1117210457646030853",2019-04-13 23:38:24,"Alan Greenspan says economy will start to fade 'very dramatically' because of entitlement burden https://t.co/7NA8k4vXJv"
"Florida, USA","1117210445994254336",2019-04-13 23:38:21,"We should push our local &amp; state governments to do this: ""Puerto Rico has passed a bill to radically transform the island's economy with renewable energy as the central... https://t.co/gH2OkzG696"
"Washington, DC","1117210313290584069",2019-04-13 23:37:50,"@KurtSchlichter @townhallcom Hmm.. that’s why under Democrat presidents the economy has done incredible. Twice now the Republicans have put the economy into a massive recession, twice a Democratic POTUS brought America back from ruin. Also, Clinton brought America back after disastrous Reagan-Bush tax cuts."
"Canada","1117210190086955009",2019-04-13 23:37:20,"@think_read_grow @Jeremy_Nolais @RachelNotley @jkenney Good. I too care about the economy, seniors, our healthcare, education (children) and those who are most vulnerable. I also have a passion for 60’s and early 70’s American muscle cars!"
"","1117210162710892544",2019-04-13 23:37:14,"@DC_Douglas @WhiteHouse Trump and the economy is doing GREAT! And you haters on the Left can't stand it. All you can do is  repeat lies on Twitter. LOL What a sorrowful like existence for you."
"Arizona, USA","1117210122680274944",2019-04-13 23:37:04,"@KamalaHarris @IlhanMN Open borders, Communist take over of the financial markets, Communist take over of the economy.  Communist take over of health care. Then you have the Climate Change HOAX on top of it. What a bunch of nuts."
"Clark, South Dakota, USA","1117210006116548609",2019-04-13 23:36:36,"@senseidai @AdamSchiff And the best way for them to get better wages is not through the government it’s to grow the economy so companies have to compete for them for jobs. Again when the government pulls the strings they are in charge not the people and that’s not what this country was founded on"
"Hamilton, Ontario, Canada","1117209860083523585",2019-04-13 23:36:02,"@MgS_2011 @canadianglen @PostmediaNews We have seen his effect on our economy. No thanks."
"California, USA","1117209837174054913",2019-04-13 23:35:56,"@CryptoGucciGG @Godineau @Fractalwatch How can they be private when the president selects the board chair? When they’re funded by the government? (https://t.co/NdpueL65uy) *.gov. Every modern economy has a central bank controlled by their govt"
